Data,prec_diaria,Aplic_altura,Aplic_fluxo,CFM_altura,CFM_fluxo,Bot_altura,Bot_fluxo,Ver_Prec_S_N,Ac_prec_3_dias
2019-03-29,17.3482,,,,,,,Sim,
2019-03-30,0.0,,,,,,,Não,
2019-03-31,0.0,,,,,,,Não,
2019-04-01,0.0,,,,,,,Não,
2019-04-02,0.0,Médio,Alto,Médio,Médio,Médio,Médio,Não,0.0
2019-04-03,0.0,Médio,Alto,Médio,Médio,Médio,Baixo,Não,0.0
2019-04-04,0.0,,,Médio,Baixo,Baixo,Baixo,Não,0.0
2019-04-05,0.0,,,,,,,Não,0.0
2019-04-06,23.088600000000003,,,,,,,Sim,23.088600000000003
2019-04-07,25.831800000000012,,,,,,,Sim,48.920400000000015
2019-04-08,1.6001999999999996,Alto,Alto,Médio,Médio,Médio,Médio,Sim,50.520600000000016
2019-04-09,0.0,Alto,Alto,Alto,Alto,Médio,Médio,Não,27.432000000000013
2019-04-10,0.0,Alto,Alto,Alto,Alto,Alto,Alto,Não,1.6001999999999996
2019-04-11,0.0,Alto,Médio,Médio,Alto,Médio,Médio,Não,0.0
2019-04-12,0.0,Médio,Médio,Médio,Alto,Médio,Médio,Não,0.0
2019-04-13,0.0,,,,,,,Não,0.0
2019-04-14,0.0,,,,,,,Não,0.0
2019-04-15,0.0,Médio,Médio,Médio,Médio,Médio,Baixo,Não,0.0
2019-04-16,12.014199999999999,Médio,Alto,Médio,Alto,Alto,Alto,Sim,12.014199999999999
2019-04-17,0.0,Alto,Médio,Médio,Baixo,Médio,Médio,Não,12.014199999999999
2019-04-18,0.0,Médio,Médio,Médio,Médio,Médio,Baixo,Não,12.014199999999999
2019-04-19,0.0,,,,,,,Não,0.0
2019-04-20,0.0,,,,,,,Não,0.0
2019-04-21,0.0,,,,,,,Não,0.0
2019-04-22,8.229600000000003,Baixo,Médio,Médio,Baixo,Médio,Baixo,Sim,8.229600000000003
2019-04-23,1.1429999999999998,Baixo,Médio,Médio,Baixo,Médio,Baixo,Sim,9.372600000000002
2019-04-24,13.614400000000003,Médio,Médio,Médio,Médio,Alto,Médio,Sim,22.98700000000001
2019-04-25,0.9143999999999999,Médio,Baixo,Médio,Baixo,Médio,Médio,Sim,15.671800000000005
2019-04-26,0.0,Alto,Médio,,,Médio,Baixo,Não,14.528800000000004
2019-04-27,5.130800000000001,,,,,,,Sim,6.0452
2019-04-28,4.114800000000001,,,,,,,Sim,9.245600000000001
2019-04-29,0.0,Médio,Médio,Médio,Alto,Alto,Médio,Não,9.245600000000001
2019-04-30,0.0,Médio,Médio,Baixo,Alto,Médio,Médio,Não,4.114800000000001
2019-05-01,0.0,,,,,,,Não,0.0
2019-05-02,0.0,Baixo,Médio,Baixo,Médio,Médio,Médio,Não,0.0
2019-05-03,0.0,Baixo,Médio,Baixo,Alto,Médio,Alto,Não,0.0
2019-05-04,0.0,,,,,,,Não,0.0
2019-05-05,0.0,,,,,,,Não,0.0
2019-05-06,0.0,Baixo,Médio,Baixo,Médio,Baixo,Baixo,Não,0.0
2019-05-07,0.0,Baixo,Médio,Médio,Médio,Médio,Médio,Não,0.0
2019-05-08,0.0,Médio,Baixo,Médio,Médio,Baixo,Baixo,Não,0.0
2019-05-09,2.5145999999999997,Baixo,Médio,Baixo,Baixo,Médio,Baixo,Sim,2.5145999999999997
2019-05-10,0.45719999999999994,,,,,,,Sim,2.9717999999999996
2019-05-11,22.910800000000005,,,,,,,Sim,25.882600000000004
2019-05-12,0.0,,,,,,,Não,23.368000000000006
2019-05-13,16.0782,,,,,,,Sim,38.989000000000004
2019-05-14,2.2859999999999996,,,,,,,Sim,18.364199999999997
2019-05-15,2.1081999999999996,,,,,,,Sim,20.4724
2019-05-16,0.45719999999999994,Médio,Médio,Alto,Médio,Médio,Baixo,Sim,4.851399999999999
2019-05-17,12.420599999999999,Médio,Médio,Alto,Médio,Médio,Baixo,Sim,14.985999999999999
2019-05-18,4.2418,,,,,,,Sim,17.1196
2019-05-19,3.8862000000000005,,,,,,,Sim,20.5486
2019-05-20,0.0,Médio,Médio,Alto,Médio,Médio,Médio,Não,8.128
2019-05-21,0.0,Médio,Médio,Médio,Alto,Médio,Médio,Não,3.8862000000000005
2019-05-22,3.4797999999999996,Baixo,Baixo,Médio,Alto,Médio,Médio,Sim,3.4797999999999996
2019-05-23,1.8287999999999995,Médio,Médio,Baixo,Médio,Alto,Médio,Sim,5.308599999999999
2019-05-24,24.9428,,,,,,,Sim,30.2514
2019-05-25,3.4544,,,,,,,Sim,30.226
2019-05-26,0.0,,,,,,,Não,28.397199999999998
2019-05-27,0.0,Alto,Alto,Alto,Alto,Médio,Médio,Não,3.4544
2019-05-28,12.420600000000002,,,Alto,Alto,Alto,Médio,Sim,12.420600000000002
2019-05-29,0.0,Alto,Médio,Médio,Baixo,Médio,Médio,Não,12.420600000000002
2019-05-30,66.57340000000002,,,,,,,Sim,78.99400000000003
2019-05-31,22.098000000000003,,,,,,,Sim,88.67140000000002
2019-06-01,58.72479999999998,,,,,,,Sim,147.39620000000002
2019-06-02,6.680200000000002,,,,,,,Sim,87.50299999999999
2019-06-03,2.2859999999999996,Alto,Alto,Alto,Alto,Alto,Alto,Sim,67.69099999999997
2019-06-04,0.0,Alto,Alto,Alto,Alto,Médio,Alto,Não,8.9662
2019-06-05,0.22859999999999997,,,,,,,Sim,2.5145999999999997
2019-06-06,0.0,,,,,,,Não,0.22859999999999997
2019-06-07,0.0,,,,,,,Não,0.22859999999999997
2019-06-08,0.0,,,,,,,Não,0.0
2019-06-09,0.0,,,,,,,Não,0.0
2019-06-10,0.0,Alto,Alto,Médio,Médio,Médio,Alto,Não,0.0
2019-06-11,0.0,,,,,,,Não,0.0
2019-06-12,0.0,Alto,Alto,Baixo,Médio,Médio,Médio,Não,0.0
2019-06-13,0.0,Alto,Médio,Médio,Médio,Médio,Médio,Não,0.0
2019-06-14,0.0,,,,,,,Não,0.0
2019-06-15,0.0,,,,,,,Não,0.0
2019-06-16,0.0,,,,,,,Não,0.0
2019-06-17,0.0,,,,,,,Não,0.0
2019-06-18,0.0,Alto,Alto,Médio,Médio,Médio,Médio,Não,0.0
2019-06-19,0.0,,,,,,,Não,0.0
2019-06-20,0.0,,,,,,,Não,0.0
2019-06-21,0.0,,,,,,,Não,0.0
2019-06-22,0.0,,,,,,,Não,0.0
2019-06-23,0.0,,,,,,,Não,0.0
2019-06-24,0.0,Alto,Médio,Médio,Médio,Médio,Médio,Não,0.0
2019-06-25,0.0,,,,,,,Não,0.0
2019-06-26,10.972800000000003,,,,,,,Sim,10.972800000000003
2019-06-27,0.0,Alto,Médio,Médio,Baixo,Baixo,Baixo,Não,10.972800000000003
2019-06-28,0.0,,,,,,,Não,10.972800000000003
2019-06-29,0.0,,,,,,,Não,0.0
2019-06-30,0.0,,,,,,,Não,0.0
2019-07-01,7.162800000000002,,,,,,,Sim,7.162800000000002
2019-07-02,10.058400000000004,,,,,,,Sim,17.221200000000007
2019-07-03,0.9143999999999999,Alto,Médio,Médio,Médio,Médio,Médio,Sim,18.135600000000007
2019-07-04,0.0,,,,,,,Não,10.972800000000005
2019-07-05,0.0,,,,,,,Não,0.9143999999999999
2019-07-06,0.0,,,,,,,Não,0.0
2019-07-07,0.0,,,,,,,Não,0.0
2019-07-08,0.0,,,,,,,Não,0.0
2019-07-09,0.0,,,,,,,Não,0.0
2019-07-10,0.0,,,,,,,Não,0.0
2019-07-11,0.0,,,,,,,Não,0.0
2019-07-12,0.0,,,,,,,Não,0.0
2019-07-13,0.0,,,,,,,Não,0.0
2019-07-14,10.287000000000004,,,,,,,Sim,10.287000000000004
2019-07-15,5.994400000000001,Médio,Alto,Baixo,Alto,Baixo,Médio,Sim,16.281400000000005
2019-07-16,0.0,Médio,Médio,Baixo,Médio,Médio,Baixo,Não,16.281400000000005
2019-07-17,0.45719999999999994,Baixo,Médio,Médio,Médio,Baixo,Médio,Sim,6.451600000000001
2019-07-18,4.114800000000001,Baixo,Médio,Médio,Médio,Médio,Baixo,Sim,4.572000000000001
2019-07-19,0.6858,Baixo,Médio,Baixo,Baixo,Baixo,Baixo,Sim,5.257800000000001
2019-07-20,0.0,Baixo,Médio,Baixo,Baixo,Médio,Médio,Não,4.800600000000001
2019-07-21,0.0,,,,,,,Não,0.6858
2019-07-22,0.0,,,,,,,Não,0.0
2019-07-23,0.0,,,,,,,Não,0.0
2019-07-24,0.0,,,,,,,Não,0.0
2019-07-25,0.0,,,,,,,Não,0.0
2019-07-26,0.0,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Não,0.0
2019-07-27,10.388600000000002,,,,,,,Sim,10.388600000000002
2019-07-28,0.0,,,,,,,Não,10.388600000000002
2019-07-29,0.0,Baixo,Baixo,Baixo,Médio,Médio,Baixo,Não,10.388600000000002
2019-07-30,0.0,Baixo,Baixo,Baixo,Baixo,Médio,Baixo,Não,0.0
2019-07-31,0.0,Baixo,Baixo,Baixo,Médio,Baixo,Médio,Não,0.0
2019-08-01,0.0,Baixo,Baixo,Baixo,Médio,Baixo,Médio,Não,0.0
2019-08-02,1.8287999999999998,,,,,,,Sim,1.8287999999999998
2019-08-03,0.0,,,,,,,Não,1.8287999999999998
2019-08-04,0.0,,,,,,,Não,1.8287999999999998
2019-08-05,0.0,Baixo,Médio,Baixo,Baixo,Baixo,Médio,Não,0.0
2019-08-06,0.0,Baixo,Médio,Baixo,Baixo,Baixo,Médio,Não,0.0
2019-08-07,0.0,Baixo,Baixo,Baixo,Baixo,Baixo,Médio,Não,0.0
2019-08-08,0.0,,,,,,,Não,0.0
2019-08-09,0.0,,,,,,,Não,0.0
2019-08-10,0.0,,,,,,,Não,0.0
2019-08-11,0.0,,,,,,,Não,0.0
2019-08-12,0.0,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Não,0.0
2019-08-13,1.8541999999999996,,,,,,,Sim,1.8541999999999996
2019-08-14,0.0,,,,,,,Não,1.8541999999999996
2019-08-15,0.0,,,,,,,Não,1.8541999999999996
2019-08-16,0.0,,,,,,,Não,0.0
2019-08-17,0.0,,,,,,,Não,0.0
2019-08-18,10.083800000000004,,,,,,,Sim,10.083800000000004
2019-08-19,1.6001999999999998,Baixo,Médio,Médio,Baixo,Médio,Baixo,Sim,11.684000000000003
2019-08-20,0.0,,,,,,,Não,11.684000000000003
2019-08-21,0.0,,,,,,,Não,1.6001999999999998
2019-08-22,0.0,Baixo,Médio,Baixo,Baixo,Médio,Médio,Não,0.0
2019-08-23,0.9143999999999999,,,,,,,Sim,0.9143999999999999
2019-08-24,0.0,,,,,,,Não,0.9143999999999999
2019-08-25,0.22859999999999997,,,,,,,Sim,1.1429999999999998
2019-08-26,0.9143999999999999,,,,,,,Sim,1.1429999999999998
2019-08-27,0.22859999999999997,,,,,,,Sim,1.3715999999999997
2019-08-28,0.0,,,,,,,Não,1.1429999999999998
2019-08-29,0.0,Baixo,Médio,Baixo,Baixo,Médio,Médio,Não,0.22859999999999997
2019-08-30,0.0,,,,,,,Não,0.0
2019-08-31,0.9143999999999999,,,,,,,Sim,0.9143999999999999
2019-09-01,10.795000000000003,,,,,,,Sim,11.709400000000004
2019-09-02,0.0,,,,,,,Não,11.709400000000004
2019-09-03,0.0,Baixo,Baixo,Baixo,Baixo,Baixo,Médio,Não,10.795000000000003
2019-09-04,0.0,,,,,,,Não,0.0
2019-09-05,0.0,,,,,,,Não,0.0
2019-09-06,9.601200000000002,,,,,,,Sim,9.601200000000002
2019-09-07,0.6858,,,,,,,Sim,10.287000000000003
2019-09-08,0.22859999999999997,,,,,,,Sim,10.515600000000003
2019-09-09,0.0,,,,,,,Não,0.9143999999999999
2019-09-10,0.0,,,,,,,Não,0.22859999999999997
2019-09-11,0.0,,,,,,,Não,0.0
2019-09-12,0.45719999999999994,,,,,,,Sim,0.45719999999999994
2019-09-13,0.0,,,,,,,Não,0.45719999999999994
2019-09-14,0.0,,,,,,,Não,0.45719999999999994
2019-09-15,0.22859999999999997,,,,,,,Sim,0.22859999999999997
2019-09-16,0.0,Baixo,Baixo,Baixo,Baixo,Médio,Baixo,Não,0.22859999999999997
2019-09-17,0.0,,,,,,,Não,0.22859999999999997
2019-09-18,13.385800000000003,,,,,,,Sim,13.385800000000003
2019-09-19,8.686800000000002,Baixo,Baixo,Baixo,Médio,Médio,Médio,Sim,22.072600000000005
2019-09-20,14.351000000000003,,,,,,,Sim,36.42360000000001
2019-09-21,0.0,,,,,,,Não,23.037800000000004
2019-09-22,0.0,,,,,,,Não,14.351000000000003
2019-09-23,0.0,,,,,,,Não,0.0
2019-09-24,0.0,,,,,,,Não,0.0
2019-09-25,0.0,Baixo,Baixo,Baixo,Baixo,Baixo,Médio,Não,0.0
2019-09-26,0.0,,,,,,,Não,0.0
2019-09-27,0.0,,,,,,,Não,0.0
2019-09-28,0.0,,,,,,,Não,0.0
2019-09-29,0.0,,,,,,,Não,0.0
2019-09-30,2.7432000000000003,,,,,,,Sim,2.7432000000000003
2019-10-01,0.0,,,,,,,Não,2.7432000000000003
2019-10-02,0.0,,,,,,,Não,2.7432000000000003
2019-10-03,0.22859999999999997,,,,,,,Sim,0.22859999999999997
2019-10-04,0.0,,,,,,,Não,0.22859999999999997
2019-10-05,0.0,,,,,,,Não,0.22859999999999997
2019-10-06,9.169400000000001,,,,,,,Sim,9.169400000000001
2019-10-07,0.9143999999999999,,,,,,,Sim,10.083800000000002
2019-10-08,0.0,,,,,,,Não,10.083800000000002
2019-10-09,0.0,,,,,,,Não,0.9143999999999999
2019-10-10,0.0,,,,,,,Não,0.0
2019-10-11,0.0,,,,,,,Não,0.0
2019-10-12,0.0,,,,,,,Não,0.0
2019-10-13,2.1336,,,,,,,Sim,2.1336
2019-10-14,16.129,,,,,,,Sim,18.262600000000003
2019-10-15,16.052800000000005,,,,,,,Sim,34.31540000000001
2019-10-16,22.40280000000001,,,,,,,Sim,54.58460000000002
2019-10-17,9.601200000000002,,,,,,,Sim,48.05680000000002
2019-10-18,0.45719999999999994,,,,,,,Sim,32.46120000000001
2019-10-19,0.0,,,,,,,Não,10.058400000000002
2019-10-20,0.0,,,,,,,Não,0.45719999999999994
2019-10-21,1.8287999999999995,,,,,,,Sim,1.8287999999999995
2019-10-22,0.0,,,,,,,Não,1.8287999999999995
2019-10-23,0.0,,,,,,,Não,1.8287999999999995
2019-10-24,3.9116000000000004,,,,,,,Sim,3.9116000000000004
2019-10-25,1.6001999999999996,,,,,,,Sim,5.5118
2019-10-26,1.6001999999999996,,,,,,,Sim,7.112
2019-10-27,24.485599999999998,,,,,,,Sim,27.686
2019-10-28,2.0573999999999995,,,,,,,Sim,28.1432
2019-10-29,0.0,,,,,,,Não,26.543
2019-10-30,0.0,,,,,,,Não,2.0573999999999995
2019-10-31,0.6858,,,,,,,Sim,0.6858
